01.11.2007 19:49
45 Messungen
5 Wiederholungen






Amplitude Frequenz Q-Faktor Strom Temperatur

6.20879 14793.8 2651.88 0 41.25
6.20848 14794.3 2652.79 0 40.95
6.2081 14795.6 2657.99 0 40.95
6.20856 14795.9 2652.85 0 40.65
6.21195 14794.8 2650.66 0 40.95
6.21102 14797.2 2654.77 0.035 40.95
6.21275 14796.5 2653.74 0.035 40.65
6.21554 14796.1 2653.43 0.035 40.95
6.21785 14795.8 2657.33 0.035 40.65
6.22078 14796.7 2652.25 0.035 40.65
6.2206 14800.6 2660.59 0.07 40.65
6.22222 14800.3 2658.65 0.07 40.35
6.2244 14798.7 2660.07 0.07 40.35
6.22655 14797.1 2654.85 0.07 40.35
6.22721 14797.3 2662.96 0.07 40.35
6.22479 14802.8 2654.97 0.105 40.35
6.22513 14803.8 2660.64 0.105 40.35
6.22411 14804.3 2658.74 0.105 40.35
6.22485 14805.3 2659.63 0.105 40.05
6.22363 14805 2657.63 0.105 40.05
6.21947 14813 2659.1 0.14 40.35
6.21957 14813.3 2656.91 0.14 40.35
6.22007 14813.7 2658.79 0.14 40.35
6.22048 14814.5 2665.08 0.14 40.35
6.22141 14814.1 2658.11 0.14 40.05
6.21692 14824.3 2660.95 0.175 40.05
6.21544 14825.2 2659.3 0.175 39.75
6.21599 14825.2 2662.11 0.175 40.05
6.21585 14825 2666.04 0.175 40.05
6.21843 14822.7 2662.43 0.175 40.05
6.21634 14828.6 2662.73 0.195 40.05
6.21768 14828 2667.5 0.195 40.05
6.22052 14827.2 2674.39 0.195 40.05
6.22191 14826.7 2663.76 0.195 40.35
6.2249 14825.7 2668.08 0.195 40.05
6.21403 14832.5 2662.64 0.215 40.05
6.21878 14833 2664.21 0.215 40.05
6.22138 14831.6 2664.04 0.215 39.75
6.22392 14831.5 2666.23 0.215 40.05
6.22513 14831.9 2668.1 0.215 39.75
6.22377 14843.4 2671.12 0.235 39.75
6.22244 14842.3 2674.08 0.235 39.75
6.22274 14842.3 2678.16 0.235 39.75
6.22172 14842.5 2673.17 0.235 39.75
6.22298 14841.5 2669.21 0.235 39.75
6.19874 14914 2695.61 0.255 39.75
6.19956 14915 2695.45 0.255 39.75
6.20199 14914.1 2698.56 0.255 39.75
6.2035 14914.4 2691.62 0.255 39.75
6.20539 14913.8 2688.84 0.255 39.75
6.16737 15006.9 2716.76 0.275 39.45
6.16756 15006.7 2713.34 0.275 39.45
6.17064 15005 2714.24 0.275 39.45
6.17048 15004.7 2717.48 0.275 39.45
6.16952 15004.3 2722.69 0.275 39.45
6.12671 15100.1 2740.21 0.295 39.45
6.12688 15100.6 2741.4 0.295 39.15
6.12833 15100.8 2739.65 0.295 39.15
6.12829 15100.7 2739.89 0.295 39.15
6.12892 15099.5 2737.38 0.295 39.15
6.08996 15190.1 2763.94 0.315 39.15
6.09364 15189.5 2761.59 0.315 39.15
6.09641 15188.5 2764.67 0.315 39.15
6.09869 15188.2 2766.27 0.315 39.15
6.10073 15187.6 2758.25 0.315 39.15
6.05164 15283.4 2786.98 0.335 39.15
6.05259 15282.9 2783.94 0.335 39.15
6.05643 15282 2787.42 0.335 39.15
6.05683 15282.3 2784.2 0.335 38.85
6.05898 15282.3 2787.4 0.335 38.85
6.00296 15375.9 2806.2 0.355 38.85
6.00602 15375.7 2794.93 0.355 39.15
6.00678 15375.7 2798.85 0.355 38.85
6.01042 15374.9 2801.44 0.355 38.85
6.01285 15374.3 2798.88 0.355 39.15
5.95243 15469.4 2806.75 0.375 38.85
5.95379 15469.2 2811.17 0.375 38.85
5.95451 15469.1 2810.65 0.375 38.85
5.95494 15468.9 2816.06 0.375 38.85
5.95469 15469.3 2811.98 0.375 38.85
5.92351 15563.2 2841.15 0.395 38.55
5.92574 15565 2839.9 0.395 38.25
5.9268 15565 2848.27 0.395 38.25
5.92838 15564.2 2840.84 0.395 38.55
5.92916 15563.8 2851.36 0.395 38.25
5.89224 15656.2 2874.36 0.415 38.25
5.89225 15656.9 2871.61 0.415 38.25
5.89149 15657.4 2871.25 0.415 37.95
5.8921 15657.3 2874.73 0.415 38.25
5.89191 15657.3 2877.94 0.415 38.25
5.8492 15748.9 2897.4 0.435 37.95
5.85143 15748.3 2901.19 0.435 38.25
5.8516 15747.6 2901.5 0.435 38.25
5.85456 15746.8 2895.99 0.435 38.25
5.85613 15747.2 2896.64 0.435 38.25
5.8101 15841.6 2920.71 0.455 38.55
5.81281 15841 2929.02 0.455 38.25
5.8136 15841.8 2921.35 0.455 38.25
5.81467 15841.7 2917.22 0.455 38.55
5.81532 15841.5 2920.63 0.455 38.25
5.7714 15934.2 2948.31 0.475 38.25
5.7709 15934.2 2940.46 0.475 38.55
5.77251 15934 2943.8 0.475 38.55
5.77171 15933.1 2944.15 0.475 38.55
5.77401 15933 2940.53 0.475 38.25
5.72358 16025.7 2955.12 0.495 38.25
5.72452 16026.4 2959.85 0.495 38.25
5.72793 16025.6 2970.95 0.495 38.25
5.72744 16026.9 2952.23 0.495 38.25
5.72671 16026.4 2974.4 0.495 38.25
5.68189 16116.4 2978.43 0.515 38.25
5.68362 16116.4 2987.8 0.515 38.25
5.68305 16115.5 2984.97 0.515 38.25
5.6844 16115.2 2980.24 0.515 38.25
5.68671 16114.5 2990.18 0.515 38.25
5.63742 16206.4 3023.44 0.535 38.25
5.64021 16206.5 3038.78 0.535 38.25
5.63937 16208.4 2972.51 0.535 38.25
5.64077 16207.5 2986.45 0.535 37.95
5.64184 16206.9 2981.44 0.535 37.95
5.59136 16295.3 3029.43 0.555 37.95
5.59248 16295.5 3016.64 0.555 38.25
5.59279 16295 3035.42 0.555 37.95
5.59381 16294.7 3023.37 0.555 37.95
5.59446 16294.2 3029.39 0.555 38.25
5.54839 16383 3050.57 0.575 38.25
5.55055 16383.4 3038.82 0.575 37.95
5.55019 16384.5 3040.5 0.575 38.25
5.55208 16384 3042.15 0.575 38.25
5.55379 16383.2 3047.77 0.575 38.25
5.50965 16470.2 3066.95 0.595 37.95
5.51018 16469.9 3066.99 0.595 37.95
5.51056 16469.8 3071.43 0.595 37.95
5.51016 16470.3 3061.1 0.595 38.25
5.51106 16469.5 3068.4 0.595 38.25
5.46627 16556.9 3078.03 0.615 37.95
5.46503 16558.2 3082.65 0.615 37.95
5.46457 16557.3 3085.65 0.615 37.95
5.46582 16556.5 3085.16 0.615 37.95
5.4674 16556 3078.88 0.615 37.95
5.42229 16643.2 3101.23 0.635 37.95
5.42296 16644.2 3111.15 0.635 38.25
5.42224 16645.1 3102.49 0.635 37.95
5.4214 16645.2 3106.4 0.635 37.95
5.42222 16644.1 3107.07 0.635 37.95
5.37733 16728.5 3124.34 0.655 37.95
5.37916 16728.2 3130.87 0.655 37.95
5.37986 16728.1 3131.51 0.655 37.95
5.38061 16728.1 3118.77 0.655 38.25
5.38041 16728.3 3131.4 0.655 37.95
5.33663 16811.7 3141.96 0.675 38.25
5.3379 16811.3 3149.11 0.675 37.95
5.33727 16811.4 3150.61 0.675 37.95
5.336 16811.5 3140.13 0.675 37.95
5.33446 16810.7 3142.61 0.675 38.25
5.28578 16896.3 3160.46 0.695 38.25
5.28497 16896.6 3169.38 0.695 37.95
5.28445 16896.8 3165.47 0.695 38.25
5.28311 16896.6 3161.43 0.695 37.95
5.2832 16897.1 3172.07 0.695 37.95
5.2386 16978.7 3176.5 0.715 37.95
5.23908 16980.1 3177.92 0.715 38.25
5.24041 16979.5 3182.53 0.715 38.25
5.24238 16978.5 3187.35 0.715 38.25
5.24189 16978.9 3186.94 0.715 37.95
5.19706 17060.1 3194.25 0.735 38.25
5.19676 17060.8 3194.72 0.735 38.25
5.1978 17060.1 3193.87 0.735 38.25
5.19603 17061 3192.76 0.735 38.55
5.19467 17061.5 3198.21 0.735 38.25
5.1451 17142.6 3196.01 0.755 38.25
5.13968 17142.2 3270.32 0.755 37.95
5.14194 17141.3 3210.09 0.755 38.25
5.1433 17140.5 3207.84 0.755 38.25
5.14224 17140.2 3189.47 0.755 38.55
5.07521 17221.8 3204.25 0.775 38.25
5.07481 17221.4 3206.16 0.775 38.25
5.07444 17221.1 3204.89 0.775 38.55
5.07479 17220.5 3209.92 0.775 38.55
5.07509 17220.1 3209.5 0.775 38.55
5.04749 17300.9 3241.48 0.795 38.25
5.04738 17301.5 3240.89 0.795 38.55
5.04689 17301.9 3240.33 0.795 38.55
5.04689 17301.2 3240.16 0.795 38.55
5.04676 17301.1 3240.41 0.795 38.85
5.01552 17378.6 3265.29 0.815 38.55
5.01435 17380.1 3255.1 0.815 38.85
5.01445 17379.4 3262.91 0.815 38.85
5.0135 17380.9 3265.28 0.815 38.55
5.01316 17379.8 3265.48 0.815 38.85
4.9712 17455.7 3277.68 0.835 38.85
4.96729 17456.7 3288.34 0.835 38.85
4.96639 17456.3 3287.38 0.835 38.85
4.96552 17455.8 3268.93 0.835 38.85
4.96764 17455.9 3294.1 0.835 38.85
4.92408 17530.1 3294.19 0.855 39.15
4.92292 17530.3 3295.68 0.855 39.15
4.92046 17530.1 3292.28 0.855 39.15
4.91959 17529.6 3288.89 0.855 39.15
4.91875 17529.3 3292.62 0.855 39.15
4.86279 17602.6 3308.64 0.875 39.15
4.86233 17602.8 3308.96 0.875 39.15
4.86248 17602.8 3313.17 0.875 39.15
4.86097 17602.4 3307.19 0.875 39.15
4.86052 17602.3 3301.2 0.875 39.15
4.83637 17674 3327 0.895 39.45
4.83523 17673.8 3328.28 0.895 39.15
4.83304 17673.6 3325.16 0.895 39.15
4.8294 17673.6 3330.7 0.895 39.45
4.8264 17673.9 3325.14 0.895 39.15
4.78449 17744.3 3339.37 0.915 39.45
4.78148 17746.3 3330.76 0.915 39.45
4.78157 17745.1 3341.67 0.915 39.45
4.7797 17744.7 3344.09 0.915 39.45
4.77904 17744.4 3343.14 0.915 39.45
4.74261 17806.8 3341.62 0.935 39.75
4.74251 17807.1 3357.04 0.935 39.45
4.74061 17807 3352.42 0.935 39.75
4.73983 17806.5 3352.05 0.935 39.75
4.73885 17806.4 3352.82 0.935 39.75
4.72974 17823.9 3351.59 0.955 39.75
4.72717 17824.8 3358.34 0.955 39.75
4.72763 17824.6 3352.57 0.955 39.75
4.72718 17823.8 3355.28 0.955 39.75
4.72436 17823.5 3351.55 0.955 40.05
