01.11.2007 19:19
45 Messungen
5 Wiederholungen






Amplitude Frequenz Q-Faktor Strom Temperatur
5.52181 16558.1 3097.69 0.615 37.35
5.52297 16559 3100.99 0.615 37.05
5.52492 16558.9 3095.81 0.615 37.05
5.52591 16559.4 3093.08 0.615 37.05
5.52751 16558.5 3100.54 0.615 37.35
5.48287 16644.5 3118.15 0.635 37.05
5.48308 16645.4 3114.43 0.635 37.05
5.48481 16644.6 3115.49 0.635 37.05
5.48519 16644.1 3117.84 0.635 37.05
5.48522 16644.6 3119.79 0.635 37.05
5.43833 16729.9 3137.88 0.655 37.05
5.4388 16731.4 3140.31 0.655 37.05
5.4377 16731.9 3139.88 0.655 37.05
5.43706 16731.5 3143.6 0.655 37.05
5.43688 16730.6 3135.97 0.655 37.05
5.39214 16813 3154.29 0.675 37.05
5.39125 16812.8 3160.72 0.675 37.05
5.39091 16813.9 3160.41 0.675 36.75
5.38996 16814.4 3157.65 0.675 36.75
5.38907 16814.5 3157.05 0.675 37.05
5.34364 16896.6 3177.47 0.695 37.05
5.34195 16896.9 3175.68 0.695 37.05
5.3414 16896 3168.65 0.695 37.05
5.34155 16895.2 3170.87 0.695 37.05
5.3404 16895.6 3177.08 0.695 37.05
5.29537 16979.2 3198.74 0.715 37.35
5.29496 16979.9 3206.44 0.715 37.05
5.2954 16979.5 3204.37 0.715 37.35
5.29562 16979.6 3189.26 0.715 37.05
5.29624 16979.4 3177.58 0.715 37.35
5.25181 17062.3 3212.37 0.735 37.05
5.25284 17062.3 3212.94 0.735 37.35
5.25253 17061.1 3217.5 0.735 37.35
5.25357 17060.5 3206.89 0.735 37.35
5.25232 17060.2 3204.21 0.735 37.35
5.2053 17141.9 3289.72 0.755 37.35
5.20405 17142 3302.94 0.755 37.35
5.20337 17141.5 3317.78 0.755 37.35
5.19956 17141.1 3177.56 0.755 37.35
5.19868 17141 3231.85 0.755 37.35
5.14306 17222.3 3233.82 0.775 37.65
5.14115 17223.3 3229.35 0.775 37.35
5.14219 17223.3 3235.94 0.775 37.35
5.14048 17223.4 3228.44 0.775 37.35
5.13881 17222.9 3222.81 0.775 37.65
5.09004 17302.1 3249.1 0.795 37.65
5.08934 17302.3 3246.53 0.795 37.65
5.08791 17301.9 3239.46 0.795 37.65
5.08882 17301.2 3244.6 0.795 37.65
5.0877 17301.2 3248.2 0.795 37.65
5.05967 17380 3278.46 0.815 37.65
5.05785 17380.2 3270.87 0.815 37.95
5.0564 17380.5 3276.78 0.815 37.65
5.05482 17380.2 3275.32 0.815 37.95
5.05464 17380 3274.65 0.815 37.95
5.00958 17456.4 3291.8 0.835 37.95
5.01114 17457 3300.22 0.835 37.95
5.01063 17456.9 3292.63 0.835 37.95
5.00778 17456.8 3293.08 0.835 38.25
5.00554 17456.3 3295.59 0.835 38.25
4.96384 17532 3295.84 0.855 38.25
4.96192 17532.8 3306.55 0.855 38.25
4.96198 17531.8 3304.87 0.855 37.95
4.96132 17532.3 3303.41 0.855 38.25
4.96497 17532.2 3305.24 0.855 38.25
4.90927 17604.4 3321.47 0.875 38.25
4.90892 17603.6 3318.07 0.875 38.25
4.90972 17602.9 3323.74 0.875 38.25
4.90576 17602.7 3315.86 0.875 38.25
4.90475 17602.5 3316.24 0.875 38.25
4.8781 17674.4 3329.46 0.895 38.25
4.87543 17675.6 3332.5 0.895 38.55
4.87421 17674.6 3330.29 0.895 38.25
4.87364 17673.9 3336.94 0.895 38.55
4.87142 17673.3 3325.42 0.895 38.55
4.83059 17743.4 3347.8 0.915 38.85
4.82881 17744.1 3344.8 0.915 38.55
4.82996 17742.6 3348.11 0.915 38.55
4.82685 17742.7 3337.82 0.915 38.85
4.82568 17742 3345.28 0.915 38.85
4.78881 17809 3354.39 0.935 38.85
4.78509 17809.7 3358.4 0.935 38.85
4.78212 17810 3360.74 0.935 38.85
4.78072 17809.9 3357.46 0.935 38.85
4.77903 17810.7 3358.18 0.935 38.85
4.76138 17839.9 3367.75 0.955 38.85
4.75896 17841.1 3352.76 0.955 38.85
4.75472 17841.3 3364.45 0.955 38.85
4.7528 17840.3 3361.45 0.955 39.15
4.75094 17839 3359.88 0.955 39.15
