01.11.2007 19:19
45 Messungen
5 Wiederholungen






Amplitude Frequenz Q-Faktor Strom Temperatur

6.40611 14796 2688.8 0 36.45
6.40198 14798.1 2691.77 0 36.45
6.39787 14799.9 2691.49 0 36.75
6.39451 14800 2690.05 0 36.75
6.39119 14801.1 2687.43 0 37.05
6.38793 14802.6 2684.58 0.035 37.05
6.38549 14802.8 2691.84 0.035 37.05
6.38379 14803.2 2688.4 0.035 36.75
6.3816 14803.5 2688.09 0.035 37.05
6.37749 14803.8 2686.83 0.035 37.35
6.37507 14806.7 2688.39 0.07 37.35
6.3732 14807.6 2685.15 0.07 37.05
6.37241 14808.3 2684.04 0.07 37.05
6.37095 14809.1 2686.67 0.07 37.35
6.36847 14810.7 2688.06 0.07 37.35
6.36535 14815.5 2688.37 0.105 37.35
6.36363 14814.3 2694.28 0.105 37.65
6.36274 14813.7 2689.94 0.105 37.65
6.35884 14813.1 2683.12 0.105 37.65
6.35589 14812.1 2685.54 0.105 37.65
6.35006 14819.2 2688.76 0.14 37.65
6.34642 14819.6 2685.08 0.14 37.65
6.34309 14819.3 2684.53 0.14 37.65
6.34099 14818.6 2687.07 0.14 37.65
6.33804 14817.7 2684.48 0.14 37.65
6.33124 14828.5 2688.48 0.175 37.65
6.33032 14828.4 2687.42 0.175 37.95
6.32957 14828.2 2689.48 0.175 37.95
6.32868 14828.5 2691.07 0.175 37.65
6.32791 14829 2685.35 0.175 37.95
6.32426 14835.5 2690.43 0.195 37.95
6.32342 14835.7 2686.12 0.195 37.95
6.32355 14836 2681.27 0.195 37.95
6.32386 14835.1 2685.82 0.195 37.95
6.32304 14834.3 2686.99 0.195 37.95
6.31718 14841.3 2697.53 0.215 37.95
6.31594 14841.4 2689.39 0.215 38.25
6.31438 14840.4 2684.86 0.215 37.95
6.31307 14840 2689.72 0.215 37.95
6.3112 14841.5 2689.13 0.215 37.65
6.30413 14851.9 2694.95 0.235 37.95
6.30461 14850.7 2689.01 0.235 37.95
6.30482 14851.8 2689.35 0.235 37.95
6.30409 14852.5 2691.21 0.235 37.95
6.30447 14852 2690.63 0.235 37.65
6.28874 14917.7 2710.28 0.255 37.95
6.29078 14917.5 2712.43 0.255 37.65
6.29208 14916.2 2713.11 0.255 37.65
6.29198 14915.2 2709.87 0.255 37.95
6.29324 14914.6 2715.67 0.255 37.95
6.24867 15010 2735.02 0.275 37.95
6.24951 15009.7 2731.76 0.275 37.95
6.24952 15009.1 2741.11 0.275 37.95
6.24818 15008.5 2736.07 0.275 37.95
6.2456 15007.9 2730.65 0.275 37.65
6.20185 15102.2 2754.79 0.295 37.95
6.20179 15103.8 2759.8 0.295 37.65
6.202 15103.9 2758.22 0.295 37.65
6.20431 15102.7 2757.49 0.295 37.65
6.20424 15103 2752.41 0.295 37.65
6.16614 15192.9 2782.01 0.315 37.65
6.16769 15192.1 2779.9 0.315 37.65
6.16839 15191.5 2779.55 0.315 37.95
6.16924 15193 2778.94 0.315 37.65
6.16871 15193.3 2776.13 0.315 37.95
6.12255 15285.5 2796.71 0.335 37.65
6.12283 15286.1 2801.24 0.335 37.65
6.12578 15284.6 2804.06 0.335 37.65
6.12695 15283.7 2798.18 0.335 37.65
6.12692 15283.2 2803.13 0.335 37.65
6.07584 15377.8 2817.31 0.355 37.65
6.07951 15377.4 2822.7 0.355 37.95
6.08171 15378.4 2820.69 0.355 37.65
6.08272 15379.2 2817.13 0.355 37.65
6.08427 15378.8 2818.65 0.355 37.65
6.02172 15471.2 2829.82 0.375 37.65
6.02099 15471.8 2826.3 0.375 37.65
6.02288 15471.6 2838.6 0.375 37.65
6.0219 15471.8 2828.29 0.375 37.65
6.02476 15471 2832.69 0.375 37.65
5.97834 15564.1 2849.04 0.395 37.65
5.97939 15564 2846.84 0.395 37.65
5.98052 15563 2855.02 0.395 37.35
5.98195 15562.4 2844.34 0.395 37.35
5.98386 15561.8 2850.22 0.395 37.35
5.95417 15657.7 2885.04 0.415 37.35
5.9556 15657.7 2884.69 0.415 37.35
5.95633 15657.2 2879.27 0.415 37.35
5.95687 15657.2 2881.1 0.415 37.35
5.95839 15656.9 2878.98 0.415 37.35
5.91865 15751.3 2914.16 0.435 37.35
5.91939 15751.5 2912.9 0.435 37.35
5.91946 15751.6 2915.25 0.435 37.65
5.91975 15751.1 2910.25 0.435 37.65
5.92196 15750.1 2908.68 0.435 37.35
5.8778 15844 2929.42 0.455 37.35
5.87955 15844 2937.51 0.455 37.35
5.88044 15844 2936.08 0.455 37.35
5.88181 15844.2 2934.42 0.455 37.35
5.88049 15845.4 2934.03 0.455 37.35
5.8333 15936.9 2953.06 0.475 37.35
5.83325 15937.6 2956.04 0.475 37.35
5.8344 15936.5 2953.22 0.475 37.05
5.83524 15936.4 2957.46 0.475 37.05
5.83488 15936.3 2956.3 0.475 37.05
5.78981 16027.8 2991.91 0.495 37.05
5.78881 16027.9 2993.3 0.495 37.35
5.78993 16027.6 2982.14 0.495 37.35
5.79233 16027.8 2987.02 0.495 37.05
5.79205 16027.3 2994.63 0.495 37.35
5.74598 16118.7 2985.38 0.515 37.35
5.74584 16118.7 3004.47 0.515 37.35
5.74513 16118.6 3009.85 0.515 37.35
5.74491 16118.1 3012.97 0.515 37.05
5.74727 16117.5 3005.25 0.515 37.35
5.70003 16207.9 3019.77 0.535 37.35
5.70076 16207.8 3022.72 0.535 37.05
5.70235 16207.6 3018.98 0.535 37.05
5.7041 16207.7 3022.07 0.535 37.35
5.70488 16207.3 3028.43 0.535 37.05
5.6557 16297.6 3037.47 0.555 37.05
5.65515 16299 3035.06 0.555 37.05
5.65644 16477.3 3074.81 0.555 37.05
5.65538 16299.3 3042.27 0.555 36.75
5.6568 16298 3043.14 0.555 37.05
5.60773 16384.6 3056.88 0.575 37.05
5.60878 16384.8 3060.94 0.575 37.05
5.60865 16384.6 3055.75 0.575 37.35
5.6078 16384.8 3051.57 0.575 37.05
5.60775 16384.9 3048.84 0.575 37.05
5.56114 16471.5 3089.09 0.595 37.35
5.56144 16471.4 3088.51 0.595 37.35
5.56171 16471 3067.55 0.595 37.05
5.56235 16470.9 3083.85 0.595 37.35
5.56406 16471 3067.49 0.595 37.35
