01.11.2007 20:26
45 Messungen
5 Wiederholungen






Amplitude Frequenz Q-Faktor Strom Temperatur

6.25545 14780.3 2655.62 0 39.45
6.25671 14779.9 2661.21 0 39.45
6.25815 14779 2663.69 0 39.15
6.25959 14779.4 2662.54 0 39.15
6.26017 14778.8 2658.55 0 39.45
6.26069 14781.5 2668.23 0.035 39.45
6.25933 14781.8 2663.58 0.035 39.15
6.26119 14780.5 2661.94 0.035 39.15
6.2621 14779.8 2660.55 0.035 39.15
6.26424 14779 2665.28 0.035 39.15
6.26543 14914.7 2687.07 0.07 39.15
6.26602 14783.5 2670.62 0.07 39.15
6.26637 14782.3 2661.78 0.07 38.85
6.26894 14782.1 2665.77 0.07 38.85
6.27159 14782.6 2665.74 0.07 39.15
6.26821 14789.8 2667.09 0.105 38.85
6.26768 14788.9 2668.27 0.105 39.15
6.26944 14788.4 2668.09 0.105 38.85
6.27086 15047.5 2713 0.105 39.15
6.27099 14790.5 2669.64 0.105 38.85
6.27011 14798.5 2666.05 0.14 38.85
6.27024 14801.3 2674.51 0.14 38.55
6.27013 14801.1 2679.99 0.14 38.55
6.27019 14800.2 2674.03 0.14 38.85
6.27178 14799.1 2672.36 0.14 38.55
6.26898 14809.3 2675.82 0.175 38.55
6.27094 14810.4 2677.59 0.175 38.85
6.27162 14809.3 2676.89 0.175 38.55
6.27417 14809.4 2674.05 0.175 38.55
6.27498 14810.5 2679.25 0.175 38.55
6.27191 14817 2676.44 0.195 38.55
6.27254 14815.8 2672.64 0.195 38.25
6.27448 14815.3 2677.51 0.195 38.55
6.27626 14813.9 2679.55 0.195 38.55
6.27747 14813.4 2675.26 0.195 38.25
6.26892 14821.2 2677.48 0.215 38.55
6.27294 14821.1 2682.33 0.215 38.55
6.27461 14820.2 2675.13 0.215 38.25
6.2752 14819.8 2685.05 0.215 38.25
6.27711 14819.5 2679.38 0.215 38.55
6.27708 14831 2683.67 0.235 38.55
6.27825 14830.9 2683.03 0.235 38.25
6.28037 14830.2 2684.58 0.235 38.25
6.28055 14829.8 2687.97 0.235 38.25
6.2831 14829.3 2680.62 0.235 38.25
6.253 14915.5 2707 0.255 38.25
6.25264 14915.7 2716.13 0.255 37.95
6.25379 14914.8 2710.04 0.255 38.25
6.2549 14914.5 2713.46 0.255 38.25
6.25559 14913.7 2709.34 0.255 37.95
6.21733 15007.3 2725.1 0.275 38.25
6.21724 15007.4 2732.48 0.275 37.95
6.21975 15007.1 2735.61 0.275 37.95
6.22273 15006.8 2734.48 0.275 37.95
6.22505 15006.1 2735.77 0.275 37.95
6.18177 15099.3 2753.99 0.295 37.65
6.1851 15099.1 2757.59 0.295 37.65
6.18545 15099.2 2757.22 0.295 37.65
6.18503 15099.3 2753.86 0.295 37.65
6.18528 15099.6 2755.87 0.295 37.65
6.14494 15191.9 2785.26 0.315 37.65
6.14725 15191.9 2783.51 0.315 37.35
6.14871 15191.8 2780.55 0.315 37.65
6.1511 15191.3 2786.48 0.315 37.65
6.15259 15191.4 2782.3 0.315 37.65
6.1099 15284 2806.06 0.335 37.65
6.11208 15284 2805.26 0.335 37.65
6.1126 15284.8 2803.93 0.335 37.35
6.1138 15285.8 2811.55 0.335 37.35
6.11552 15284.8 2810.48 0.335 37.35
6.06847 15377.3 2833.97 0.355 37.65
6.06956 15377.5 2818.72 0.355 37.35
6.07148 15377.3 2822.08 0.355 37.35
6.0728 15376.6 2827.16 0.355 37.35
6.07448 15376.3 2826.18 0.355 37.35
6.01982 15470.1 2840.26 0.375 37.35
6.02208 15470.2 2842.02 0.375 37.35
6.02336 15470.3 2841.89 0.375 37.35
6.02332 15470.7 2842.81 0.375 37.35
6.02501 15470.5 2838.95 0.375 37.35
5.95951 15563.2 2847.58 0.395 37.35
5.96161 15563.3 2848.36 0.395 37.35
5.9622 15563.8 2846.37 0.395 37.35
5.96391 15564.6 2845.65 0.395 37.35
5.96508 15565.3 2850.66 0.395 37.05
5.93604 15657.5 2879.32 0.415 37.35
5.93725 15657.5 2881.14 0.415 37.05
5.93861 15658.7 2880.49 0.415 36.75
5.94021 15657.5 2883.62 0.415 37.05
5.94108 15657.1 2883.83 0.415 36.75
5.90513 15749.9 2907.88 0.435 37.05
5.9078 15749.4 2913.99 0.435 37.05
5.90803 15749.2 2916.25 0.435 36.75
5.90921 15749.2 2911.04 0.435 37.05
5.90822 15750.3 2909.65 0.435 37.05
5.86387 15843.5 2930.83 0.455 36.75
5.86392 15843.7 2933.69 0.455 36.75
5.86307 15843.9 2939.93 0.455 37.05
5.86364 15843.5 2932.55 0.455 37.05
5.86289 15843.8 2934.01 0.455 37.05
5.81701 15935.5 2950.58 0.475 36.75
5.81734 15935.2 2956.38 0.475 37.05
5.81837 15935.2 2954.82 0.475 37.05
5.81937 15935.2 2953.99 0.475 37.05
5.82051 15935.5 2956.11 0.475 37.05
5.77423 16026.3 2981.96 0.495 36.75
5.77799 16026.7 2981.81 0.495 36.75
5.77825 16026.7 2964.4 0.495 37.05
5.7789 16027.3 2968.49 0.495 36.75
5.78034 16027.2 2984.15 0.495 37.05
5.72852 16117.4 2974.74 0.515 36.75
5.72759 16116.8 2975.22 0.515 36.75
5.73733 16116.1 3022.83 0.515 36.75
5.73889 16115.5 2971.88 0.515 37.05
5.74093 16115.3 3027.59 0.515 36.75
5.69401 16207.4 3023.74 0.535 36.75
5.69455 16207.2 3023.52 0.535 36.75
5.69611 16207 3028.16 0.535 36.75
5.69601 16206.4 3008.93 0.535 36.75
5.69677 16205.8 3020.46 0.535 36.75
5.6477 16296.5 3035.07 0.555 36.75
5.64712 16296.5 3038.24 0.555 36.75
5.64758 16296.2 3045.33 0.555 36.75
5.64828 16296.1 3043.69 0.555 37.05
5.64801 16295.9 3043.61 0.555 36.75
5.5982 16383.9 3056.36 0.575 36.75
5.59903 16383.9 3057.74 0.575 36.75
5.5977 16383.9 3065.05 0.575 36.75
5.59723 16383.6 3056.51 0.575 36.75
5.59729 16384 3055.72 0.575 36.75
5.54746 16471 3063.97 0.595 36.75
5.54735 16471.3 3072.25 0.595 36.75
5.54701 16471.4 3072.21 0.595 36.75
5.547 16471.2 3071.4 0.595 36.75
5.54733 16471 3067.36 0.595 36.75
5.50404 16557.5 3094.25 0.615 36.75
5.50412 16557.7 3090.73 0.615 36.75
5.5043 16557.4 3095.65 0.615 36.75
5.50483 16557.2 3099.93 0.615 37.05
5.50512 16556.8 3097.98 0.615 36.75
5.46298 16643.9 3110.57 0.635 36.75
5.46232 16644 3117.2 0.635 37.05
5.46269 16644 3111.34 0.635 37.05
5.46374 16643.8 3119.46 0.635 37.05
5.46345 16643.7 3118.71 0.635 36.75
5.41811 16729.8 3130.7 0.655 36.75
5.41607 16730.5 3141.99 0.655 37.05
5.41577 16729.9 3148.07 0.655 37.05
5.41523 16729.6 3135.53 0.655 36.75
5.41492 16729.3 3138.69 0.655 36.75
5.37044 16812.8 3160.01 0.675 36.75
5.36932 16813.5 3148.72 0.675 36.75
5.36766 16814.2 3163.57 0.675 36.75
5.36714 16814.8 3151.86 0.675 36.75
5.36527 16814.9 3161.47 0.675 36.75
5.32055 16896.9 3177.66 0.695 36.75
5.31867 16897.8 3165.79 0.695 36.75
5.31861 16897.8 3177.26 0.695 36.75
5.31646 16898.2 3166.33 0.695 36.75
5.31485 16898.1 3175.08 0.695 36.75
5.27022 16979.2 3195.1 0.715 36.75
5.27081 16979.3 3191.26 0.715 36.75
5.27262 16979.3 3190.42 0.715 36.75
5.27388 16979.1 3198.44 0.715 36.75
5.27356 16979.6 3172 0.715 37.05
5.22939 17061.7 3205.42 0.735 37.05
5.2284 17061.7 3208.32 0.735 37.05
5.22986 17061 3210.44 0.735 37.05
5.22975 17060.7 3210.49 0.735 37.05
5.22937 17060.3 3204.09 0.735 37.35
5.17983 17142.7 3241.96 0.755 37.05
5.18017 17142.9 3287.34 0.755 37.35
5.1759 17143.2 3172.09 0.755 37.05
5.18115 17144.2 3249.76 0.755 37.35
5.18305 17143.8 3260.08 0.755 37.35
5.12773 17222.4 3236.63 0.775 37.35
5.12826 17223.2 3238.07 0.775 37.35
5.12686 17223 3233.82 0.775 37.65
5.12589 17222.9 3231.76 0.775 37.35
5.12536 17222.2 3238.78 0.775 37.35
5.06995 17301.8 3234.39 0.795 37.65
5.06909 17302.5 3246.69 0.795 37.65
5.06748 17302 3244.88 0.795 37.35
5.06744 17301.5 3242.42 0.795 37.65
5.06657 17302.6 3242.55 0.795 37.65
5.04069 17379.2 3274.45 0.815 37.65
5.04063 17379.3 3270.47 0.815 37.65
5.03828 17380.1 3267.31 0.815 37.65
5.03637 17380.2 3273.09 0.815 37.65
5.0347 17379.8 3268.15 0.815 37.65
4.99265 17456.6 3282.43 0.835 37.95
4.9915 17456.8 3272.85 0.835 37.95
4.98846 17456.6 3277.15 0.835 37.65
4.98645 17456.5 3300.11 0.835 37.95
4.98239 17456 3270.06 0.835 37.95
4.94396 17530 3300.26 0.855 37.95
4.9425 17530.5 3307.63 0.855 38.25
4.9419 17530.8 3309.77 0.855 37.95
4.93991 17530.8 3295.51 0.855 38.25
4.93642 17531.4 3300.15 0.855 38.25
4.8843 17602.3 3320.06 0.875 38.25
4.8834 17602.3 3317.25 0.875 38.25
4.88027 17602.6 3314.64 0.875 38.25
4.87941 17602.4 3312.75 0.875 38.25
4.87797 17602.1 3316.68 0.875 38.25
4.85109 17673.7 3329.86 0.895 38.25
4.85213 17674.2 3326.07 0.895 38.25
4.85122 17674.2 3332.33 0.895 38.55
4.85025 17674.4 3336.18 0.895 38.55
4.84842 17674.1 3334.78 0.895 38.55
4.81289 17741.9 3342 0.915 38.55
4.81311 17742.7 3341.12 0.915 38.85
4.81338 17742.7 3352.94 0.915 38.85
4.81249 17743.1 3344.33 0.915 38.85
4.81121 17743.5 3349.96 0.915 38.85
4.77466 17809.1 3353.69 0.935 39.15
4.77208 17810.1 3361.7 0.935 38.85
4.76853 17810.4 3364.6 0.935 38.85
4.76531 17810.8 3355.54 0.935 38.85
4.76379 17810.2 3354.14 0.935 38.85
4.74672 17841.2 3360.57 0.955 39.15
4.74432 17842.4 3356.34 0.955 39.15
4.74298 17842 3361.78 0.955 39.15
4.73983 17841.9 3353.26 0.955 39.15
4.73651 17842.4 3361.44 0.955 39.15
