01.11.2007 18:53
45 Messungen
5 Wiederholungen






Amplitude Frequenz Q-Faktor Strom Temperatur
5.72169 16559.5 3149.7 0.615 32.55
5.72128 16559.6 3146.07 0.615 32.55
5.69034 16645.3 3158.95 0.635 32.55
5.68074 16645.3 3159.19 0.635 32.55
5.68028 16645.5 3154.24 0.635 32.85
5.6787 16645 3153.72 0.635 32.85
5.67792 16645.3 3154.05 0.635 32.55
5.63853 16729.8 3171.06 0.655 32.85
5.61966 16731.3 3167.96 0.655 32.55
5.6277 16731.1 3168.87 0.655 32.55
5.62747 16730.8 3169.35 0.655 32.85
5.62644 16730.4 3166.09 0.655 32.85
5.64169 16813.7 3187.66 0.675 32.55
5.60703 16814.2 3184.42 0.675 32.55
5.60576 16814.3 3182.46 0.675 32.85
5.60237 16815.1 3191.1 0.675 32.55
5.57768 16815.1 3195.89 0.675 32.55
5.54173 16897.5 3219.11 0.695 32.85
5.53516 16898.3 3209.7 0.695 32.85
5.53637 16897.7 3209.71 0.695 32.55
5.53606 16898.1 3212.16 0.695 32.85
5.53548 16898 3202.97 0.695 33.15
5.4907 16981.3 3228.04 0.715 32.85
5.48686 16982.1 3238.83 0.715 33.15
5.48524 16981.7 3232.19 0.715 33.15
5.48285 16981.6 3225.51 0.715 32.85
5.48279 16981.3 3228.71 0.715 33.15
5.43879 17063.1 3247.52 0.735 33.15
5.43926 17063.6 3254.43 0.735 33.15
5.43881 17064.1 3250.8 0.735 33.15
5.43797 17064 3244.55 0.735 33.15
5.4367 17063.8 3244.72 0.735 33.15
5.3906 17144.3 3274.08 0.755 33.15
5.38714 17144.9 3241.49 0.755 33.45
5.38644 17144.3 3242.1 0.755 33.15
5.38574 17144.6 3269.72 0.755 33.15
5.37887 17145 3253.1 0.755 33.45
5.37553 17225.2 3282.04 0.775 33.15
5.34455 17226.6 3288.06 0.775 33.15
5.34211 17226.3 3284.82 0.775 33.15
5.34333 17226.4 3278.7 0.775 33.15
5.34076 17226.1 3287.5 0.775 33.15
5.29386 17303.5 3297.91 0.795 33.45
5.29707 17304.4 3295.11 0.795 33.45
5.29692 17304.1 3281.63 0.795 33.45
5.29515 17304 3279.31 0.795 33.75
5.29362 17303.7 3316.11 0.795 33.75
5.26569 17381.3 3305.41 0.815 34.05
5.24477 17382 3310.67 0.815 33.75
5.23598 17382.2 3304.13 0.815 34.05
5.2347 17382.2 3301.55 0.815 34.05
5.23431 17381.8 3298.82 0.815 34.05
5.19415 17458.2 3318.56 0.835 34.05
5.18906 17459 3325.78 0.835 34.05
5.18202 17459.7 3316.88 0.835 33.75
5.17851 17460 3329.41 0.835 34.05
5.17469 17460.1 3324.68 0.835 34.05
5.13293 17533 3336 0.855 34.05
5.13018 17534.6 3341.84 0.855 33.75
5.12798 17535.2 3342.14 0.855 33.75
5.12608 17535.1 3337.08 0.855 33.75
5.12492 17535.2 3337.24 0.855 33.75
5.08096 17606 3345.35 0.875 33.75
5.07838 17606.1 3355.35 0.875 33.75
5.07567 17605.9 3351.1 0.875 33.75
5.07492 17605.6 3354.86 0.875 33.75
5.07322 17605 3347.27 0.875 34.05
5.0339 17676.8 3372.91 0.895 34.35
5.03041 17678.2 3370.5 0.895 34.35
5.02783 17677.9 3369.79 0.895 34.35
5.02666 17677.3 3368.76 0.895 34.35
5.02398 17677.2 3366.35 0.895 34.35
4.98683 17745.7 3375.03 0.915 34.65
4.98532 17746.5 3386.35 0.915 34.95
4.98304 17745.8 3381.88 0.915 34.65
4.98215 17746.1 3387.32 0.915 34.95
