01.11.2007 17:04
45 Messungen
5 Wiederholungen






Amplitude Frequenz Q-Faktor Strom Temperatur

6.65027 14769.2 2743.3 0 31.95
6.65234 14769.2 2729.48 0 31.95
6.64857 14768.9 2727.7 0 31.65
6.64716 14768.5 2727.81 0 31.65
6.64778 14768.6 2730 0 31.95
6.64003 14770 2709.95 0.035 31.95
6.65087 14769.2 2744.43 0.035 31.95
6.6483 14768.9 2733.54 0.035 31.95
6.64682 14768.7 2727.79 0.035 31.65
6.64554 14768.8 2732.54 0.035 31.65
6.64431 14771.7 2741.53 0.07 31.95
6.64404 14772.1 2730.56 0.07 31.95
6.64301 14772.7 2733.82 0.07 31.65
6.64289 14772.8 2736.08 0.07 31.65
6.64229 14773 2735.36 0.07 31.65
6.63974 14778 2741.64 0.105 31.65
6.63929 14778.2 2738.61 0.105 31.35
6.63934 14778.1 2739.05 0.105 31.65
6.63895 14778.2 2735.46 0.105 31.65
6.63895 14778.8 2735.52 0.105 31.65
6.63778 14786.4 2745.12 0.14 31.35
6.63716 14786.8 2740.47 0.14 31.35
6.63755 14786.4 2739.01 0.14 31.35
6.63741 14786.7 2740.45 0.14 31.35
6.63786 14786.2 2739.9 0.14 31.35
6.63643 14796.2 2737.68 0.175 31.35
6.63606 14796.4 2744.5 0.175 31.35
6.63601 14796.6 2740.95 0.175 31.35
6.63652 14796.4 2752.67 0.175 31.35
6.63736 14795.7 2737.46 0.175 31.35
6.63576 14801.7 2745.81 0.195 31.35
6.63687 14801.8 2741.93 0.195 31.65
6.63714 14802.6 2744.1 0.195 31.35
6.63742 14802.9 2742.36 0.195 31.05
6.63695 14802.8 2743.53 0.195 31.05
6.63369 14811.2 2751.84 0.215 31.35
6.63412 14811.8 2749.15 0.215 31.05
6.63445 14812 2748.6 0.215 31.35
6.63527 14812.2 2748.16 0.215 31.05
6.63695 14812.3 2745.63 0.215 31.05
6.61952 14824.6 2752.11 0.235 30.75
6.62135 14825.2 2744.2 0.235 30.75
6.62101 14825.2 2741.63 0.235 31.05
6.62179 14825.4 2743.26 0.235 30.75
6.62175 14825.6 2748.83 0.235 30.75
6.60405 14911.4 2775.38 0.255 30.75
6.60349 14912.6 2778.99 0.255 30.75
6.6048 14912.6 2777.41 0.255 30.75
6.60575 14912.8 2776.23 0.255 30.75
6.60615 14912.7 2782.32 0.255 30.75
6.57298 15003.3 2798.85 0.275 30.75
6.57161 15004.4 2811.56 0.275 30.45
6.57157 15004.6 2799.98 0.275 30.45
6.57294 15004.5 2814.5 0.275 30.45
6.57458 15003.9 2812.13 0.275 30.45
6.53187 15095.4 2823.88 0.295 30.75
6.53066 15096.5 2822.83 0.295 30.75
6.53052 15096.8 2832.31 0.295 30.75
6.53146 15096.4 2827.1 0.295 30.75
6.53182 15096.7 2819.5 0.295 30.75
6.4963 15188.5 2854.42 0.315 30.45
6.4961 15189.1 2853.24 0.315 30.75
6.49711 15189.2 2854.38 0.315 30.45
6.49792 15189.1 2855.09 0.315 30.75
6.49804 15189.1 2850.62 0.315 30.75
6.45499 15281.6 2875.23 0.335 30.75
6.45425 15282.4 2875.61 0.335 30.45
6.45564 15282.5 2875.76 0.335 30.75
6.45565 15282.5 2877.65 0.335 30.75
6.45664 15282.1 2879.95 0.335 30.75
6.40984 15375.2 2901.33 0.355 30.75
6.40975 15376.1 2898.87 0.355 30.75
6.40919 15376 2897.32 0.355 30.75
6.41079 15376.3 2896.38 0.355 30.75
6.41108 15376.4 2901.04 0.355 30.75
6.36382 15469.5 2925.2 0.375 30.45
