temps	chemin
-4.02E-7	-2.83483E-2
1.551E-6	-1.46504E-2
3.504E-6	2.46588E-1
5.457E-6	3.07437E-1
7.41E-6	3.22507E-1
9.363E-6	2.95067E-1
1.1316E-5	1.42518E-1
1.3269E-5	1.76249E-1
1.5223E-5	3.66311E-1
1.7176E-5	3.18463E-1
1.9129E-5	3.31486E-1
2.1082E-5	4.98309E-1
2.3035E-5	2.83413E-1
2.4988E-5	3.49077E-1
2.6941E-5	4.75381E-1
2.8894E-5	2.95845E-1
3.0848E-5	4.1304E-1
3.2801E-5	3.71205E-1
3.4754E-5	5.00301E-1
3.6707E-5	5.66827E-1
3.866E-5	5.36033E-1
4.0613E-5	5.05679E-1
4.2566E-5	5.08765E-1
4.4519E-5	4.31772E-1
4.6472E-5	5.23499E-1
4.8426E-5	7.08186E-1
5.0379E-5	6.10753E-1
5.2332E-5	4.9974E-1
5.4285E-5	5.48277E-1
5.6238E-5	5.39274E-1
5.8191E-5	6.25702E-1
6.0144E-5	6.13829E-1
6.2097E-5	5.80406E-1
6.4051E-5	8.79684E-1
6.6004E-5	9.71501E-1
6.7957E-5	8.41358E-1
6.991E-5	1.1674E0
7.1863E-5	9.25652E-1
7.3816E-5	9.16519E-1
7.577E-5	1.03316E0
7.7723E-5	9.78453E-1
7.9676E-5	1.0686E0
8.1629E-5	9.66496E-1
8.3582E-5	9.59632E-1
8.5535E-5	1.00563E0
8.7488E-5	1.06363E0
8.9441E-5	1.00683E0
9.1394E-5	1.0147E0
9.3348E-5	1.06925E0
9.5301E-5	1.13164E0
9.7254E-5	1.1373E0
9.9207E-5	1.11533E0
1.0116E-4	1.15381E0
1.03113E-4	1.11883E0
1.05066E-4	1.16087E0
1.07019E-4	1.33862E0
1.08973E-4	1.11772E0
1.10926E-4	1.15426E0
1.12879E-4	1.46408E0
1.14832E-4	1.59533E0
1.16785E-4	1.56897E0
1.18738E-4	1.60157E0
1.20691E-4	1.60482E0
1.22644E-4	1.61932E0
1.24598E-4	1.63768E0
1.26551E-4	1.63302E0
1.28504E-4	1.71253E0
1.30457E-4	1.71547E0
1.3241E-4	1.66012E0
1.34363E-4	1.72299E0
1.36316E-4	1.77421E0
1.38269E-4	1.71437E0
1.40223E-4	1.73271E0
1.42176E-4	1.75175E0
1.44129E-4	1.71203E0
1.46082E-4	1.70723E0
1.48035E-4	1.88176E0
1.49988E-4	2.18972E0
1.51941E-4	2.1952E0
1.53894E-4	2.21011E0
1.55848E-4	2.22164E0
1.57801E-4	2.23336E0
1.59754E-4	2.24647E0
1.61707E-4	2.25689E0
1.6366E-4	2.27154E0
1.65613E-4	2.27924E0
1.67566E-4	2.29844E0
1.69519E-4	2.29793E0
1.71472E-4	2.33333E0
1.73426E-4	2.27091E0
1.75379E-4	2.30238E0
1.77332E-4	2.36682E0
1.79285E-4	2.35779E0
1.81238E-4	2.38104E0
1.83191E-4	2.38579E0
1.85145E-4	2.4022E0
1.87097E-4	2.3316E0
1.89051E-4	2.42676E0
1.91004E-4	2.42746E0
1.92957E-4	2.49178E0
1.9491E-4	2.80298E0
1.96863E-4	2.87007E0
1.98816E-4	2.86489E0
2.0077E-4	2.89061E0
2.02723E-4	2.88537E0
2.04676E-4	2.91915E0
2.06629E-4	2.8927E0
2.08582E-4	2.86445E0
2.10535E-4	2.9344E0
2.12488E-4	2.78992E0
2.14441E-4	2.99004E0
2.16394E-4	2.90967E0
2.18348E-4	2.94844E0
2.20301E-4	3.00786E0
2.22254E-4	2.92297E0
2.24207E-4	3.02061E0
2.2616E-4	3.02898E0
2.28113E-4	3.03786E0
2.30066E-4	3.05573E0
2.32019E-4	3.05402E0
2.33973E-4	3.08623E0
2.35926E-4	3.05635E0
2.37879E-4	3.03882E0
2.39832E-4	3.05663E0
2.41785E-4	3.07367E0
2.43738E-4	3.14056E0
2.45691E-4	3.13372E0
2.47644E-4	3.14457E0
2.49598E-4	3.17368E0
2.51551E-4	3.10838E0
2.53504E-4	3.15022E0
2.55457E-4	3.13355E0
2.5741E-4	3.17416E0
2.59363E-4	3.22498E0
2.61316E-4	3.21437E0
2.63269E-4	3.23731E0
2.65222E-4	3.24062E0
2.67176E-4	3.25411E0
2.69129E-4	3.26443E0
2.71082E-4	3.27207E0
2.73035E-4	3.28757E0
2.74988E-4	3.2897E0
2.76941E-4	3.31238E0
2.78894E-4	3.29764E0
2.80848E-4	3.17161E0
2.82801E-4	3.35293E0
