temps	chemin
4.09891E-4	1.97008E0
4.11845E-4	1.64876E0
4.13798E-4	1.53962E0
4.15751E-4	1.56813E0
4.17704E-4	1.55265E0
4.19657E-4	1.54694E0
4.2161E-4	1.61845E0
4.23563E-4	1.56758E0
4.25516E-4	1.53422E0
4.27469E-4	1.54611E0
4.29423E-4	1.53413E0
4.31376E-4	1.53625E0
4.33329E-4	1.53018E0
4.35282E-4	1.52818E0
4.37235E-4	1.52474E0
4.39188E-4	1.52107E0
4.41141E-4	1.5177E0
4.43095E-4	1.51589E0
4.45048E-4	1.50701E0
4.47001E-4	1.51628E0
4.48954E-4	1.20695E0
4.50907E-4	1.23145E0
4.5286E-4	1.12504E0
4.54813E-4	1.09443E0
4.56766E-4	1.10078E0
4.58719E-4	1.09898E0
4.60672E-4	1.07853E0
4.62626E-4	1.12791E0
4.64579E-4	1.13658E0
4.66532E-4	1.08986E0
4.68485E-4	1.16987E0
4.70438E-4	1.10449E0
4.72391E-4	1.16989E0
4.74345E-4	1.15667E0
4.76298E-4	1.16627E0
4.78251E-4	1.10009E0
4.80204E-4	9.80872E-1
4.82157E-4	8.72198E-1
4.8411E-4	9.01773E-1
4.86063E-4	9.59583E-1
4.88016E-4	8.69615E-1
4.89969E-4	6.94656E-1
4.91922E-4	8.2687E-1
4.93876E-4	7.74858E-1
4.95829E-4	9.23005E-1
4.97782E-4	8.04482E-1
4.99735E-4	8.82914E-1
5.01688E-4	8.57748E-1
5.03641E-4	8.28832E-1
5.05594E-4	8.79628E-1
5.07548E-4	8.86642E-1
5.09501E-4	8.17684E-1
5.11454E-4	7.43263E-1
5.13407E-4	4.39998E-1
5.1536E-4	3.71516E-1
5.17313E-4	5.22368E-1
5.19267E-4	4.57643E-1
5.2122E-4	4.40607E-1
5.23173E-4	5.55391E-1
5.25126E-4	4.34589E-1
5.27079E-4	4.10825E-1
5.29032E-4	4.26405E-1
5.30985E-4	3.50537E-1
5.32938E-4	5.0014E-1
5.34891E-4	4.61317E-1
5.36844E-4	5.70399E-1
5.38798E-4	3.47496E-1
5.40751E-4	9.17813E-2
5.42704E-4	1.23884E-1
5.44657E-4	1.00884E-1
5.4661E-4	1.03162E-1
5.48563E-4	9.59226E-2
5.50516E-4	8.61376E-2
5.5247E-4	9.0957E-2
5.54423E-4	5.99029E-2
5.56376E-4	-9.00795E-4
5.58329E-4	7.7849E-2
5.60282E-4	5.38182E-2
5.62235E-4	6.07219E-2
5.64188E-4	8.84505E-3
5.66141E-4	-3.17627E-1
5.68094E-4	-3.05333E-1
5.70047E-4	-3.17079E-1
5.72001E-4	-3.8393E-1
5.73954E-4	-3.64062E-1
5.75907E-4	-3.85023E-1
5.7786E-4	-3.83635E-1
5.79813E-4	-3.92519E-1
5.81766E-4	-4.00964E-1
5.8372E-4	-4.00936E-1
5.85673E-4	-4.19641E-1
5.87626E-4	-4.02469E-1
5.89579E-4	-5.20421E-1
5.91532E-4	-8.20307E-1
5.93485E-4	-8.17352E-1
5.95438E-4	-8.57462E-1
5.97391E-4	-6.90211E-1
5.99344E-4	-7.33453E-1
6.01297E-4	-8.87491E-1
6.03251E-4	-8.35336E-1
6.05204E-4	-7.97598E-1
6.07157E-4	-9.00662E-1
6.0911E-4	-7.82458E-1
6.11063E-4	-7.12221E-1
6.13016E-4	-1.05058E0
6.14969E-4	-1.1227E0
6.16923E-4	-1.05599E0
6.18876E-4	-1.19707E0
6.20829E-4	-1.03468E0
6.22782E-4	-1.11327E0
6.24735E-4	-1.09912E0
6.26688E-4	-1.0214E0
6.28642E-4	-1.24581E0
6.30595E-4	-1.10244E0
6.32548E-4	-1.0489E0
6.345E-4	-1.51766E0
6.36454E-4	-1.43287E0
6.38407E-4	-1.57953E0
6.4036E-4	-1.50519E0
6.42313E-4	-1.37566E0
6.44266E-4	-1.57036E0
6.46219E-4	-1.53897E0
6.48173E-4	-1.63806E0
6.50126E-4	-1.55149E0
6.52079E-4	-1.65237E0
6.54032E-4	-1.88087E0
6.55985E-4	-1.87857E0
6.57938E-4	-1.94772E0
6.59891E-4	-1.8828E0
6.61845E-4	-1.87139E0
6.63798E-4	-1.87197E0
6.65751E-4	-1.91805E0
6.67704E-4	-1.96734E0
6.69657E-4	-1.86512E0
6.7161E-4	-2.00617E0
6.73563E-4	-2.31928E0
6.75516E-4	-2.31627E0
6.77469E-4	-2.3299E0
6.79422E-4	-2.33768E0
6.81376E-4	-2.34326E0
6.83329E-4	-2.3594E0
6.85282E-4	-2.35425E0
6.87235E-4	-2.38738E0
6.89188E-4	-2.34859E0
6.91141E-4	-2.62327E0
6.93095E-4	-2.82186E0
6.95048E-4	-2.78125E0
6.97001E-4	-2.81653E0
6.98954E-4	-2.73132E0
7.00907E-4	-2.75084E0
7.0286E-4	-2.83051E0
7.04813E-4	-2.84581E0
7.06766E-4	-2.8498E0
7.08719E-4	-2.85852E0
7.10672E-4	-3.04115E0
7.12626E-4	-3.20812E0
7.14579E-4	-3.16102E0
7.16532E-4	-2.98482E0
7.18485E-4	-3.13658E0
7.20438E-4	-3.16551E0
7.22391E-4	-3.2924E0
7.24344E-4	-3.28697E0
7.26298E-4	-3.23426E0
7.28251E-4	-3.08892E0
7.30204E-4	-3.67586E0
7.32157E-4	-3.39353E0
7.3411E-4	-3.45203E0
7.36063E-4	-3.53735E0
7.38017E-4	-3.53206E0
7.3997E-4	-3.43715E0
7.41922E-4	-3.61671E0
7.43875E-4	-3.54863E0
7.45829E-4	-3.65333E0
7.47782E-4	-3.51322E0
7.49735E-4	-3.65414E0
7.51688E-4	-3.91083E0
7.53641E-4	-3.8282E0
7.55594E-4	-3.96373E0
7.57548E-4	-3.89587E0
7.59501E-4	-3.89364E0
7.61454E-4	-3.90841E0
7.63407E-4	-3.91703E0
7.6536E-4	-3.92576E0
7.67313E-4	-3.94378E0
7.69266E-4	-3.93691E0
7.7122E-4	-4.26417E0
7.73173E-4	-4.38342E0
7.75126E-4	-4.35884E0
7.77079E-4	-4.38953E0
7.79032E-4	-4.3872E0
7.80985E-4	-4.4072E0
7.82938E-4	-4.41086E0
7.84891E-4	-4.42803E0
7.86844E-4	-4.43239E0
7.88797E-4	-4.45122E0
7.90751E-4	-4.45045E0
7.92704E-4	-4.49552E0
7.94657E-4	-4.84406E0
7.9661E-4	-4.88773E0
7.98563E-4	-4.89083E0
8.00516E-4	-4.90233E0
8.0247E-4	-4.92333E0
8.04423E-4	-4.85667E0
8.06376E-4	-4.91635E0
8.08329E-4	-4.96113E0
8.10282E-4	-4.94919E0
8.12235E-4	-4.98703E0
8.14188E-4	-4.95638E0
8.16141E-4	-5.20056E0
8.18094E-4	-5.21312E0
8.20047E-4	-5.31979E0
8.22001E-4	-5.27191E0
8.23954E-4	-5.28222E0
8.25907E-4	-5.38726E0
8.2786E-4	-5.21066E0
8.29813E-4	-5.43923E0
8.31766E-4	-5.51109E0
8.33719E-4	-5.39986E0
8.35673E-4	-5.41924E0
8.37626E-4	-5.43415E0
8.39579E-4	-5.6542E0
8.41532E-4	-5.70111E0
8.43485E-4	-5.75451E0
8.45438E-4	-5.89164E0
