temps	chemin
-4.02E-7	-1.84254E-2
1.551E-6	-2.99662E-2
3.504E-6	-2.05803E-4
5.457E-6	8.90787E-3
7.41E-6	2.82698E-2
9.363E-6	4.62459E-2
1.1316E-5	5.29332E-2
1.3269E-5	1.45188E-1
1.5223E-5	1.17418E-1
1.7176E-5	9.33212E-2
1.9129E-5	1.49004E-1
2.1082E-5	2.132E-1
2.3035E-5	1.46325E-1
2.4988E-5	1.85666E-1
2.6941E-5	1.74992E-1
2.8894E-5	2.66165E-1
3.0848E-5	2.63814E-1
3.2801E-5	2.25489E-1
3.4754E-5	2.68379E-1
3.6707E-5	3.97754E-1
3.866E-5	3.21848E-1
4.0613E-5	2.9321E-1
4.2566E-5	3.29358E-1
4.4519E-5	3.32383E-1
4.6472E-5	3.58489E-1
4.8426E-5	4.45194E-1
5.0379E-5	3.89244E-1
5.2332E-5	4.01364E-1
5.4285E-5	4.1736E-1
5.6238E-5	4.92161E-1
5.8191E-5	5.11244E-1
6.0144E-5	5.15238E-1
6.2097E-5	4.78197E-1
6.4051E-5	4.95356E-1
6.6004E-5	6.09409E-1
6.7957E-5	2.16505E-1
6.991E-5	2.13541E-1
7.1863E-5	3.02002E-1
7.3816E-5	2.23385E-1
7.577E-5	3.62779E-1
7.7723E-5	2.30791E-1
7.9676E-5	2.95818E-1
8.1629E-5	3.43694E-1
8.3582E-5	3.02727E-1
8.5535E-5	3.97981E-1
8.7488E-5	3.88173E-1
8.9441E-5	3.61803E-1
9.1394E-5	4.36115E-1
9.3348E-5	4.07228E-1
9.5301E-5	5.7051E-1
9.7254E-5	5.44068E-1
9.9207E-5	6.03746E-1
1.0116E-4	5.46604E-1
1.03113E-4	5.59824E-1
1.05066E-4	4.36907E-1
1.07019E-4	6.55765E-1
1.08973E-4	8.42428E-1
1.10926E-4	8.90362E-1
1.12879E-4	8.89151E-1
1.14832E-4	9.7353E-1
1.16785E-4	9.74248E-1
1.18738E-4	9.34242E-1
1.20691E-4	9.73611E-1
1.22644E-4	9.75764E-1
1.24598E-4	1.0006E0
1.26551E-4	1.01022E0
1.28504E-4	1.03103E0
1.30457E-4	1.04238E0
1.3241E-4	1.06311E0
1.34363E-4	1.15106E0
1.36316E-4	1.09707E0
