temps	chemin
-7.96E-7	-3.0747E-2
1.157E-6	-1.73837E-1
3.11E-6	-1.14408E-1
5.063E-6	-1.06419E-1
7.016E-6	-1.82658E-1
8.969E-6	-3.77215E-2
1.0923E-5	-5.37866E-3
1.2876E-5	-1.09981E-1
1.4829E-5	-1.24478E-1
1.6782E-5	-1.14717E-1
1.8735E-5	-1.06861E-1
2.0688E-5	-1.03537E-1
2.2641E-5	-9.00298E-2
2.4594E-5	-9.52768E-2
2.6548E-5	-6.19775E-2
2.8501E-5	-2.49902E-3
3.0454E-5	2.17572E-3
3.2407E-5	-6.20623E-2
3.436E-5	-1.47301E-2
3.6313E-5	5.29712E-2
3.8266E-5	-1.68552E-2
4.0219E-5	-3.94955E-2
4.2172E-5	-2.48836E-2
4.4126E-5	-2.28716E-2
4.6079E-5	-1.27804E-2
4.8032E-5	-9.97116E-3
4.9985E-5	9.09227E-4
5.1938E-5	1.29171E-3
5.3891E-5	1.63923E-2
5.5844E-5	9.09392E-3
5.7797E-5	4.28446E-2
5.9751E-5	1.02274E-1
6.1704E-5	2.54132E-2
6.3657E-5	4.8339E-2
6.561E-5	4.48578E-2
6.7563E-5	5.93886E-2
6.9516E-5	5.35344E-2
7.147E-5	1.09701E-1
7.3423E-5	1.72863E-1
7.5376E-5	1.01885E-1
7.7329E-5	8.51733E-2
7.9282E-5	1.6017E-1
8.1235E-5	2.49487E-1
8.3188E-5	1.17726E-1
8.5141E-5	1.10424E-1
8.7094E-5	1.03211E-1
8.9048E-5	1.63431E-1
9.1001E-5	1.75082E-1
9.2954E-5	1.73251E-1
9.4907E-5	3.24477E-1
9.686E-5	1.4173E-1
9.8813E-5	1.87771E-1
1.00766E-4	2.98015E-1
1.02719E-4	1.32468E-1
1.04673E-4	2.32162E-1
1.06626E-4	2.09304E-1
1.08579E-4	1.65636E-1
1.10532E-4	1.90769E-1
1.12485E-4	2.1208E-1
1.14438E-4	4.71032E-1
1.16391E-4	6.0872E-1
1.18344E-4	5.88826E-1
1.20298E-4	6.06811E-1
1.22251E-4	6.0487E-1
1.24204E-4	6.14426E-1
1.26157E-4	6.18008E-1
1.2811E-4	6.22929E-1
1.30063E-4	6.3077E-1
1.32016E-4	6.31025E-1
1.33969E-4	6.44507E-1
1.35923E-4	6.36102E-1
1.37876E-4	6.68956E-1
1.39829E-4	7.26645E-1
1.41782E-4	6.49631E-1
1.43735E-4	6.69715E-1
1.45688E-4	6.67855E-1
1.47641E-4	6.76326E-1
1.49594E-4	6.79749E-1
1.51548E-4	6.85258E-1
1.53501E-4	6.90186E-1
1.55454E-4	6.951E-1
1.57407E-4	6.99466E-1
1.5936E-4	7.06115E-1
