temps	chemin
-4.02E-7	6.66173E-3
1.551E-6	-7.02712E-2
3.504E-6	-5.89382E-2
5.457E-6	1.47049E-2
7.41E-6	9.04202E-3
9.363E-6	2.95391E-2
1.1316E-5	3.40761E-2
1.3269E-5	5.05111E-2
1.5223E-5	5.7054E-2
1.7176E-5	-5.93013E-3
1.9129E-5	7.96616E-2
2.1082E-5	9.38613E-2
2.3035E-5	1.02218E-1
2.4988E-5	1.15355E-1
2.6941E-5	1.24978E-1
2.8894E-5	1.36497E-1
3.0848E-5	1.48006E-1
3.2801E-5	1.57134E-1
3.4754E-5	1.71632E-1
3.6707E-5	1.7658E-1
3.866E-5	1.97558E-1
4.0613E-5	1.88698E-1
4.2566E-5	2.77868E-1
4.4519E-5	5.5779E-1
4.6472E-5	6.19729E-1
4.8426E-5	5.42039E-1
5.0379E-5	5.90029E-1
5.2332E-5	6.53513E-1
5.4285E-5	5.50779E-1
5.6238E-5	4.7983E-1
5.8191E-5	5.77187E-1
6.0144E-5	6.56728E-1
6.2097E-5	5.5243E-1
6.4051E-5	6.54183E-1
6.6004E-5	6.74794E-1
6.7957E-5	7.27581E-1
6.991E-5	7.40615E-1
7.1863E-5	6.99764E-1
7.3816E-5	7.62636E-1
7.577E-5	8.97314E-1
7.7723E-5	1.11422E0
7.9676E-5	9.62922E-1
8.1629E-5	1.02279E0
8.3582E-5	1.00093E0
8.5535E-5	1.00647E0
8.7488E-5	9.77548E-1
8.9441E-5	1.00963E0
9.1394E-5	1.20725E0
9.3348E-5	1.06115E0
9.5301E-5	1.01579E0
9.7254E-5	1.02387E0
9.9207E-5	9.98749E-1
1.0116E-4	1.14243E0
1.03113E-4	1.08204E0
1.05066E-4	1.10483E0
1.07019E-4	1.23599E0
1.08973E-4	1.33758E0
1.10926E-4	1.37756E0
1.12879E-4	1.35936E0
1.14832E-4	1.41313E0
1.16785E-4	1.45324E0
1.18738E-4	1.44939E0
1.20691E-4	1.46935E0
1.22644E-4	1.39015E0
1.24598E-4	1.61678E0
1.26551E-4	1.52715E0
1.28504E-4	1.45042E0
1.30457E-4	1.45569E0
1.3241E-4	1.54033E0
1.34363E-4	1.67005E0
1.36316E-4	1.49554E0
1.38269E-4	1.50248E0
1.40223E-4	1.53139E0
1.42176E-4	1.4951E0
1.44129E-4	1.69414E0
1.46082E-4	1.96947E0
1.48035E-4	1.9329E0
1.49988E-4	1.96628E0
1.51941E-4	1.96305E0
1.53894E-4	1.98047E0
1.55848E-4	1.98626E0
1.57801E-4	1.99823E0
1.59754E-4	2.00718E0
1.61707E-4	2.01751E0
1.6366E-4	2.02667E0
1.65613E-4	2.03813E0
1.67566E-4	2.04433E0
1.69519E-4	2.06109E0
1.71472E-4	2.05837E0
1.73426E-4	2.08981E0
1.75379E-4	2.06061E0
1.77332E-4	2.17057E0
1.79285E-4	2.11152E0
1.81238E-4	2.2579E0
1.83191E-4	2.55467E0
1.85145E-4	2.505E0
1.87097E-4	2.54595E0
1.89051E-4	2.53759E0
1.91004E-4	2.5574E0
1.92957E-4	2.56158E0
1.9491E-4	2.57347E0
1.96863E-4	2.58282E0
1.98816E-4	2.59076E0
2.0077E-4	2.60386E0
2.02723E-4	2.60698E0
2.04676E-4	2.62707E0
2.06629E-4	2.6192E0
2.08582E-4	2.6573E0
2.10535E-4	2.69232E0
2.12488E-4	2.81303E0
2.14441E-4	2.9751E0
2.16394E-4	3.00613E0
2.18348E-4	2.95919E0
2.20301E-4	2.97875E0
2.22254E-4	3.09247E0
2.24207E-4	3.00756E0
2.2616E-4	3.00383E0
2.28113E-4	3.0268E0
2.30066E-4	3.11863E0
2.32019E-4	3.07094E0
