temps	chemin
-4.02E-7	-2.01908E-2
1.551E-6	4.21963E-2
3.504E-6	1.29334E-2
5.457E-6	8.32526E-2
7.41E-6	1.54999E-1
9.363E-6	1.59298E-1
1.1316E-5	9.19528E-2
1.3269E-5	2.06698E-2
1.5223E-5	9.70467E-2
1.7176E-5	1.68218E-1
1.9129E-5	1.41589E-1
2.1082E-5	1.07653E-1
2.3035E-5	1.18168E-1
2.4988E-5	-3.68943E-2
2.6941E-5	2.40345E-1
2.8894E-5	1.53779E-1
3.0848E-5	2.15923E-1
3.2801E-5	2.57907E-1
3.4754E-5	2.34807E-1
3.6707E-5	2.80115E-1
3.866E-5	2.26964E-1
4.0613E-5	2.33021E-1
4.2566E-5	1.91195E-1
4.4519E-5	9.17879E-2
4.6472E-5	1.90877E-1
4.8426E-5	1.58037E-1
5.0379E-5	1.48801E-1
5.2332E-5	9.02441E-2
5.4285E-5	2.22443E-1
5.6238E-5	2.88838E-1
5.8191E-5	4.2981E-1
6.0144E-5	7.39736E-1
6.2097E-5	6.03579E-1
6.4051E-5	5.04059E-1
6.6004E-5	5.62783E-1
6.7957E-5	5.86749E-1
6.991E-5	6.32681E-1
7.1863E-5	6.63073E-1
7.3816E-5	5.05258E-1
7.577E-5	6.67412E-1
7.7723E-5	6.81077E-1
7.9676E-5	5.47092E-1
8.1629E-5	5.77769E-1
8.3582E-5	5.83221E-1
8.5535E-5	4.4991E-1
8.7488E-5	7.0879E-1
8.9441E-5	8.69131E-1
9.1394E-5	6.8286E-1
9.3348E-5	5.76135E-1
9.5301E-5	6.07699E-1
9.7254E-5	5.95286E-1
9.9207E-5	5.98458E-1
1.0116E-4	5.93087E-1
1.03113E-4	4.80169E-1
1.05066E-4	3.45976E-1
1.07019E-4	5.17088E-1
1.08973E-4	4.60227E-1
1.10926E-4	4.64035E-1
1.12879E-4	4.03878E-1
1.14832E-4	4.47256E-1
1.16785E-4	3.83318E-1
1.18738E-4	3.50871E-1
1.20691E-4	3.93762E-1
1.22644E-4	4.5972E-1
1.24598E-4	5.24686E-1
1.26551E-4	4.34133E-1
1.28504E-4	4.75561E-1
1.30457E-4	5.19098E-1
1.3241E-4	5.19426E-1
1.34363E-4	5.16083E-1
1.36316E-4	5.4607E-1
1.38269E-4	5.47119E-1
1.40223E-4	3.55455E-1
1.42176E-4	5.37134E-1
1.44129E-4	4.47423E-1
1.46082E-4	5.28651E-1
1.48035E-4	5.31509E-1
1.49988E-4	4.20975E-1
1.51941E-4	4.01539E-1
1.53894E-4	4.96629E-1
1.55848E-4	5.70652E-1
1.57801E-4	5.68719E-1
1.59754E-4	5.53064E-1
1.61707E-4	6.06008E-1
1.6366E-4	5.13011E-1
1.65613E-4	6.42058E-1
1.67566E-4	6.6279E-1
1.69519E-4	5.73255E-1
1.71472E-4	3.78962E-1
1.73426E-4	2.60415E-1
1.75379E-4	2.9986E-1
1.77332E-4	2.7819E-1
1.79285E-4	3.12068E-1
1.81238E-4	2.59422E-1
1.83191E-4	2.45812E-1
1.85145E-4	3.25268E-1
1.87097E-4	3.03564E-1
1.89051E-4	3.24295E-1
1.91004E-4	3.16473E-1
1.92957E-4	2.52466E-1
1.9491E-4	3.26313E-1
1.96863E-4	2.60123E-1
1.98816E-4	3.35125E-1
2.0077E-4	3.46313E-1
2.02723E-4	3.43402E-1
2.04676E-4	3.54554E-1
2.06629E-4	3.51101E-1
2.08582E-4	3.63584E-1
2.10535E-4	3.53669E-1
2.12488E-4	2.2356E-1
2.14441E-4	3.61855E-1
2.16394E-4	3.78323E-1
2.18348E-4	3.75777E-1
2.20301E-4	3.83474E-1
2.22254E-4	3.85578E-1
2.24207E-4	3.87363E-1
2.2616E-4	4.00639E-1
2.28113E-4	3.28299E-1
2.30066E-4	3.76567E-1
2.32019E-4	4.19653E-1
2.33973E-4	3.75132E-1
2.35926E-4	5.0263E-2
2.37879E-4	1.39909E-2
2.39832E-4	3.23542E-2
2.41785E-4	2.64111E-2
2.43738E-4	3.59654E-2
2.45691E-4	3.50371E-2
2.47644E-4	4.09562E-2
2.49598E-4	4.25358E-2
2.51551E-4	4.65548E-2
2.53504E-4	4.92561E-2
2.55457E-4	5.24669E-2
2.5741E-4	5.5504E-2
2.59363E-4	5.85035E-2
2.61316E-4	6.14653E-2
2.63269E-4	6.43895E-2
2.65222E-4	6.7276E-2
2.67176E-4	7.01248E-2
2.69129E-4	7.2936E-2
2.71082E-4	7.57094E-2
2.73035E-4	7.85732E-2
2.74988E-4	8.08202E-2
2.76941E-4	8.46405E-2
2.78894E-4	8.47861E-2
2.80848E-4	9.20749E-2
2.82801E-4	8.6287E-2
2.84754E-4	1.03061E-1
2.86707E-4	8.08658E-2
2.8866E-4	1.31007E-1
2.90613E-4	-5.39955E-2
2.92567E-4	-2.44633E-1
2.94519E-4	-2.11489E-1
2.96472E-4	-2.14772E-1
2.98425E-4	-2.43018E-1
3.00379E-4	-2.90422E-1
3.02332E-4	-2.6945E-1
3.04285E-4	-2.76497E-1
3.06238E-4	-2.70913E-1
3.08191E-4	-2.67497E-1
3.10144E-4	-2.74457E-1
3.12098E-4	-1.98806E-1
3.14051E-4	-2.35722E-1
3.16004E-4	-2.86416E-1
3.17957E-4	-1.9519E-1
3.1991E-4	-2.22722E-1
3.21863E-4	-2.67039E-1
3.23816E-4	-2.49534E-1
3.2577E-4	-2.42745E-1
3.27723E-4	-6.17221E-2
3.29676E-4	-1.90614E-1
3.31629E-4	-1.32069E-1
3.33582E-4	-2.54989E-1
