temps	chemin
-4.02E-7	2.51019E-2
1.551E-6	2.86253E-2
3.504E-6	1.36378E-1
5.457E-6	8.02026E-2
7.41E-6	1.47663E-1
9.363E-6	2.5526E-1
1.1316E-5	1.55355E-1
1.3269E-5	1.91191E-1
1.5223E-5	2.23211E-1
1.7176E-5	3.81976E-1
1.9129E-5	6.10106E-1
2.1082E-5	5.93528E-1
2.3035E-5	6.28251E-1
2.4988E-5	6.35406E-1
2.6941E-5	6.58268E-1
2.8894E-5	6.72378E-1
3.0848E-5	6.90941E-1
3.2801E-5	7.07463E-1
3.4754E-5	7.24698E-1
3.6707E-5	7.41762E-1
3.866E-5	7.58744E-1
4.0613E-5	7.75887E-1
4.2566E-5	7.92612E-1
4.4519E-5	8.10127E-1
4.6472E-5	8.26219E-1
4.8426E-5	8.44456E-1
5.0379E-5	8.59622E-1
5.2332E-5	8.78757E-1
5.4285E-5	8.92994E-1
5.6238E-5	9.12823E-1
5.8191E-5	1.00467E0
6.0144E-5	9.46496E-1
6.2097E-5	9.6034E-1
6.4051E-5	9.79775E-1
6.6004E-5	9.94155E-1
6.7957E-5	1.01323E0
6.991E-5	1.02725E0
7.1863E-5	1.04777E0
7.3816E-5	1.05846E0
7.577E-5	1.08485E0
7.7723E-5	1.08566E0
7.9676E-5	1.12877E0
8.1629E-5	1.09552E0
8.3582E-5	1.30236E0
8.5535E-5	1.58418E0
8.7488E-5	1.55382E0
8.9441E-5	1.59416E0
9.1394E-5	1.59716E0
9.3348E-5	1.62134E0
9.5301E-5	1.63374E0
9.7254E-5	1.65179E0
9.9207E-5	1.66861E0
1.0116E-4	1.68245E0
1.03113E-4	1.70451E0
1.05066E-4	1.70991E0
1.07019E-4	1.74828E0
1.08973E-4	1.67022E0
1.10926E-4	1.7623E0
1.12879E-4	1.73249E0
1.14832E-4	1.75402E0
1.16785E-4	1.83219E0
1.18738E-4	1.82123E0
1.20691E-4	1.8532E0
1.22644E-4	1.85989E0
1.24598E-4	1.88163E0
1.26551E-4	1.89468E0
1.28504E-4	1.91236E0
1.30457E-4	1.92783E0
1.3241E-4	1.94395E0
1.34363E-4	1.96041E0
1.36316E-4	1.97558E0
1.38269E-4	1.99306E0
1.40223E-4	2.00676E0
1.42176E-4	2.02622E0
1.44129E-4	2.03678E0
1.46082E-4	2.06218E0
1.48035E-4	2.04819E0
1.49988E-4	1.97045E0
1.51941E-4	2.08075E0
1.53894E-4	2.12419E0
1.55848E-4	2.13427E0
1.57801E-4	2.15051E0
1.59754E-4	2.16888E0
1.61707E-4	2.17862E0
1.6366E-4	2.21996E0
1.65613E-4	2.58905E0
1.67566E-4	2.47998E0
1.69519E-4	2.47343E0
1.71472E-4	2.50153E0
1.73426E-4	2.57439E0
1.75379E-4	2.5756E0
1.77332E-4	2.55008E0
1.79285E-4	2.69889E0
1.81238E-4	2.55284E0
1.83191E-4	2.6246E0
1.85145E-4	2.71736E0
1.87097E-4	2.71598E0
1.89051E-4	2.47203E0
1.91004E-4	2.78588E0
1.92957E-4	2.77301E0
1.9491E-4	2.80116E0
1.96863E-4	2.7611E0
1.98816E-4	2.71188E0
2.0077E-4	2.92056E0
2.02723E-4	2.69089E0
2.04676E-4	2.87964E0
2.06629E-4	2.84594E0
2.08582E-4	2.78232E0
2.10535E-4	2.94901E0
2.12488E-4	2.84458E0
2.14441E-4	2.96062E0
2.16394E-4	2.93158E0
2.18348E-4	2.90297E0
2.20301E-4	2.81491E0
2.22254E-4	3.01794E0
2.24207E-4	2.98576E0
2.2616E-4	2.98655E0
2.28113E-4	2.96627E0
2.30066E-4	2.9899E0
2.32019E-4	3.07783E0
2.33973E-4	3.01535E0
2.35926E-4	2.92657E0
2.37879E-4	3.05549E0
2.39832E-4	3.06287E0
2.41785E-4	3.03136E0
2.43738E-4	3.02953E0
2.45691E-4	2.99029E0
2.47644E-4	3.2056E0
2.49598E-4	3.19977E0
2.51551E-4	3.2252E0
2.53504E-4	3.03812E0
2.55457E-4	3.09978E0
2.5741E-4	3.27981E0
2.59363E-4	3.25223E0
2.61316E-4	3.33024E0
2.63269E-4	3.38567E0
