temps	chemin
-4.02E-7	6.85867E-2
1.551E-6	8.89214E-2
3.504E-6	1.031E-1
5.457E-6	1.21293E-1
7.41E-6	1.37049E-1
9.363E-6	1.5407E-1
1.1316E-5	1.70528E-1
1.3269E-5	1.87107E-1
1.5223E-5	2.0367E-1
1.7176E-5	2.20218E-1
1.9129E-5	2.3675E-1
2.1082E-5	2.53266E-1
2.3035E-5	2.69767E-1
2.4988E-5	2.86252E-1
2.6941E-5	3.02722E-1
2.8894E-5	3.19176E-1
3.0848E-5	3.35614E-1
3.2801E-5	3.52036E-1
3.4754E-5	3.68443E-1
3.6707E-5	3.84834E-1
3.866E-5	4.01209E-1
4.0613E-5	4.17568E-1
4.2566E-5	4.33912E-1
4.4519E-5	4.50239E-1
4.6472E-5	4.66551E-1
4.8426E-5	4.82903E-1
5.0379E-5	4.98966E-1
5.2332E-5	5.1576E-1
5.4285E-5	5.30917E-1
5.6238E-5	5.49121E-1
5.8191E-5	5.6201E-1
6.0144E-5	5.83614E-1
6.2097E-5	5.91143E-1
6.4051E-5	6.21712E-1
6.6004E-5	6.08427E-1
6.7957E-5	5.75545E-1
6.991E-5	6.66875E-1
7.1863E-5	6.82979E-1
7.3816E-5	6.23912E-1
7.577E-5	6.88785E-1
7.7723E-5	7.34807E-1
7.9676E-5	7.35354E-1
8.1629E-5	7.62023E-1
8.3582E-5	7.69281E-1
8.5535E-5	7.93936E-1
8.7488E-5	7.99577E-1
8.9441E-5	8.30233E-1
9.1394E-5	8.17964E-1
9.3348E-5	7.81601E-1
9.5301E-5	8.79408E-1
9.7254E-5	8.80789E-1
9.9207E-5	9.02485E-1
1.0116E-4	9.1701E-1
1.03113E-4	9.30591E-1
1.05066E-4	9.52652E-1
1.07019E-4	9.56507E-1
1.08973E-4	9.95461E-1
1.10926E-4	9.37444E-1
1.12879E-4	9.72106E-1
1.14832E-4	1.04142E0
1.16785E-4	1.0353E0
1.18738E-4	1.06343E0
1.20691E-4	1.07162E0
1.22644E-4	1.09179E0
1.24598E-4	1.10488E0
1.26551E-4	1.12188E0
1.28504E-4	1.13688E0
1.30457E-4	1.15273E0
1.3241E-4	1.16827E0
1.34363E-4	1.18385E0
1.36316E-4	1.19941E0
1.38269E-4	1.21495E0
1.40223E-4	1.23046E0
1.42176E-4	1.24602E0
1.44129E-4	1.26162E0
1.46082E-4	1.27651E0
1.48035E-4	1.29366E0
1.49988E-4	1.30523E0
1.51941E-4	1.32848E0
1.53894E-4	1.32902E0
1.55848E-4	1.37347E0
1.57801E-4	1.2818E0
1.59754E-4	1.39864E0
1.61707E-4	1.17273E0
1.6366E-4	9.91048E-1
1.65613E-4	1.04993E0
1.67566E-4	1.09306E0
1.69519E-4	1.13729E0
1.71472E-4	1.13811E0
1.73426E-4	1.10297E0
1.75379E-4	1.11195E0
1.77332E-4	1.13774E0
1.79285E-4	1.13773E0
1.81238E-4	1.18155E0
1.83191E-4	1.24871E0
1.85145E-4	1.18203E0
1.87097E-4	1.21191E0
1.89051E-4	1.22046E0
1.91004E-4	1.23826E0
1.92957E-4	1.25333E0
1.9491E-4	1.26565E0
1.96863E-4	1.28731E0
1.98816E-4	1.28739E0
2.0077E-4	1.38454E0
2.02723E-4	1.34696E0
2.04676E-4	1.33424E0
2.06629E-4	1.36279E0
2.08582E-4	1.36936E0
2.10535E-4	1.38961E0
2.12488E-4	1.40116E0
2.14441E-4	1.41803E0
2.16394E-4	1.4318E0
2.18348E-4	1.44717E0
2.20301E-4	1.46178E0
2.22254E-4	1.47664E0
2.24207E-4	1.49143E0
2.2616E-4	1.5062E0
2.28113E-4	1.52096E0
2.30066E-4	1.53569E0
2.32019E-4	1.55041E0
2.33973E-4	1.56511E0
2.35926E-4	1.5798E0
2.37879E-4	1.59446E0
2.39832E-4	1.60911E0
2.41785E-4	1.62374E0
2.43738E-4	1.63837E0
2.45691E-4	1.65295E0
2.47644E-4	1.66746E0
2.49598E-4	1.68232E0
2.51551E-4	1.69608E0
2.53504E-4	1.71234E0
2.55457E-4	1.72326E0
2.5741E-4	1.74496E0
2.59363E-4	1.74364E0
2.61316E-4	1.84198E0
2.63269E-4	1.80034E0
2.65222E-4	1.794E0
2.67176E-4	1.80701E0
2.69129E-4	1.89516E0
2.71082E-4	1.86231E0
2.73035E-4	1.84563E0
2.74988E-4	1.87556E0
2.76941E-4	1.88041E0
2.78894E-4	1.90057E0
2.80848E-4	1.91128E0
2.82801E-4	1.92758E0
2.84754E-4	1.94073E0
2.86707E-4	1.95548E0
2.8866E-4	1.96946E0
2.90613E-4	1.9837E0
2.92567E-4	1.99786E0
2.94519E-4	2.01201E0
2.96472E-4	2.02614E0
2.98425E-4	2.04025E0
3.00379E-4	2.05434E0
3.02332E-4	2.06841E0
3.04285E-4	2.08247E0
3.06238E-4	2.0965E0
3.08191E-4	2.11047E0
3.10144E-4	2.12468E0
3.12098E-4	2.13813E0
3.14051E-4	2.15319E0
3.16004E-4	2.16514E0
3.17957E-4	2.18238E0
3.1991E-4	2.19107E0
3.21863E-4	2.21304E0
3.23816E-4	2.21384E0
3.2577E-4	2.2545E0
3.27723E-4	2.32217E0
3.29676E-4	2.2521E0
3.31629E-4	2.28312E0
3.33582E-4	2.28733E0
3.35535E-4	2.30758E0
3.37488E-4	2.39457E0
3.39441E-4	2.33408E0
3.41394E-4	2.34453E0
3.43347E-4	2.36093E0
3.45301E-4	2.37239E0
3.47254E-4	2.38774E0
3.49207E-4	2.4002E0
3.5116E-4	2.41441E0
3.53113E-4	2.428E0
3.55066E-4	2.44098E0
3.5702E-4	2.45571E0
3.58973E-4	2.46751E0
3.60926E-4	2.48326E0
3.62879E-4	2.49411E0
3.64832E-4	2.51055E0
3.66785E-4	2.59902E0
3.68738E-4	2.53746E0
3.70691E-4	2.54792E0
3.72644E-4	2.56397E0
3.74597E-4	2.57513E0
3.76551E-4	2.59026E0
3.78504E-4	2.60231E0
3.80457E-4	2.61651E0
3.8241E-4	2.62929E0
3.84363E-4	2.64282E0
3.86316E-4	2.65615E0
3.88269E-4	2.66895E0
3.90223E-4	2.68329E0
3.92176E-4	2.69431E0
3.94129E-4	2.71152E0
3.96082E-4	2.71767E0
3.98035E-4	2.74308E0
3.99988E-4	2.733E0
4.01942E-4	2.81989E0
4.03894E-4	2.81411E0
4.05847E-4	2.77363E0
4.07801E-4	2.80854E0
4.09754E-4	2.80916E0
4.11707E-4	2.82969E0
4.1366E-4	2.8382E0
4.15613E-4	2.85378E0
4.17566E-4	2.86541E0
4.19519E-4	2.87881E0
4.21473E-4	2.89212E0
4.23426E-4	2.9035E0
4.25379E-4	2.91977E0
4.27332E-4	2.92615E0
4.29285E-4	2.95074E0
4.31238E-4	2.94234E0
4.33191E-4	2.99814E0
4.35145E-4	2.75186E0
4.37098E-4	2.64245E0
4.39051E-4	2.64402E0
4.41004E-4	2.59828E0
4.42957E-4	2.82183E0
4.4491E-4	2.73028E0
4.46863E-4	2.78226E0
4.48816E-4	2.73695E0
4.50769E-4	2.7968E0
4.52723E-4	2.75453E0
4.54676E-4	2.68672E0
4.56629E-4	2.7795E0
4.58582E-4	2.79621E0
4.60535E-4	2.74213E0
4.62488E-4	2.77687E0
4.64441E-4	2.77009E0
4.66395E-4	2.83723E0
4.68348E-4	2.90339E0
4.70301E-4	2.84217E0
4.72254E-4	2.82637E0
4.74207E-4	2.84188E0
4.7616E-4	2.86138E0
4.78113E-4	2.83669E0
4.80066E-4	2.66244E0
4.82019E-4	2.62627E0
4.83972E-4	2.61068E0
4.85926E-4	2.63362E0
4.87879E-4	2.61343E0
